BWD WBS — 4-5月スプリント（4/17〜5/20）【B2B法人向けSaaS】
No	カテゴリ	Todo	メモ	開始日	終了日	ステータス
1	4/17-20 事業計画	事業計画策定（企画書8セクション+競合分析）	プロジェクト定義/理念/ターゲット/SWOT/ビジョン/マーケ戦略/スコープ/競合	2026/04/17	2026/04/20	完了
2	4/20-21 事業計画	CJM策定（AsIs/ToBe カスタマージャーニー）	DESIGNαテンプレ使用	2026/04/20	2026/04/21	進行中
3	4/21 インフラ	Supabase DB再設計（法人テナント対応）	orgs,users,enrollments,progress,certs	2026/04/21	2026/04/21	未着手
4	4/21 インフラ	Supabase Auth（法人管理者+従業員招待制）	メール招待+ロール管理	2026/04/21	2026/04/21	未着手
5	4/22 インフラ	Vercelデプロイ・CI/CD・ドメイン	blueworkerdiamond.jp	2026/04/22	2026/04/22	未着手
6	4/23-25 コア機能	AI過去問コンテンツ生成（全17資格）	公開過去問+AI予想問題	2026/04/23	2026/04/25	未着手
7	4/25-26 コア機能	AI家庭教師チャット実装	Claude API	2026/04/25	2026/04/26	未着手
8	4/26 コア機能	AI適性診断（経歴→最適資格提案）	プロンプトベース	2026/04/26	2026/04/26	未着手
9	4/27 コア機能	学習プラン自動生成+市場価値表示	AI生成+資格×業界DB	2026/04/27	2026/04/27	未着手
10	4/28-29 法人機能	法人管理ダッシュボード（進捗・正答率可視化）	人的資本開示レポート対応	2026/04/28	2026/04/29	未着手
11	4/29-30 法人機能	進捗レポート出力+キャリア相談予約フォーム	PDF/メール送付+オプション1万円/回	2026/04/29	2026/04/30	未着手
12	4/30-5/1 法人機能	法人請求・プラン管理	月額固定 50人20万/100人35万/200人60万	2026/04/30	2026/05/01	未着手
13	5/1-2 テスト	結合テスト・PWA対応	一気通貫テスト	2026/05/01	2026/05/02	未着手
14	5/2 チェック	【ゲート】MVP完成チェック	全機能動作確認	2026/05/02	2026/05/02	未着手
15	5/3-4 営業	LP改修（B2B法人向け+助成金最大75%OFF訴求）	lp-second-career.html更新	2026/05/03	2026/05/04	未着手
16	5/5-6 営業	法人営業資料作成+ターゲット企業リスト	PDF+大手5-10社リスト	2026/05/05	2026/05/06	未着手
17	5/7-13 営業	人脈アプローチ（トライアル1-2社獲得）	フェーズ1: 既存ネットワーク	2026/05/07	2026/05/13	未着手
18	5/14-18 営業	AIフォーム営業ツール開発+メール文面AI生成	Claude Code自社開発	2026/05/14	2026/05/18	未着手
19	5/19 チェック	【KPI】MVP完成/営業資料完成/トライアル提案5社	未達→6月で巻き返し	2026/05/19	2026/05/19	未着手
20	5/20 計画	6月スプリント計画策定	実績ベースで次期設計	2026/05/20	2026/05/20	未着手
